sci_name_2025,TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,ott_id,ott_name,ott_tax_sources,match_type,H_M_name,H_M_match_type,Birdlife_name,Birdlife_match_type,IOC_name,IOC_match_type,underscores,sp_toga,Species,Unnamed: 0,Order,Family,Genus,animal,TOTALINNOVATIONS2025,FOODINNO2025,TECHINNO2025,TOTALINNOVATIONS2025_ResEff,FOODINNO2025_ResEff,TECHINNO2025_ResEff,Range.Size,ResearchEffort,DietBreadth,HabitatBreadth,GenerationLength,GenerationLengthFULL,MaxLongevity,Insularity,UrbanFULL,IUCNStatus2019,StatusCode,PopulationTrend2019,TrendCode,HabitatDestruction,Overexploitation,InvasiveSpecies,CriterionB,Brain_size,Relative_brain_size,Beak_length.Culmen,Beak_length.Nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand.Wing_index,Tail_length,Mass,Habitat,Habitat_density,Migration,Trophic_level,Trophic_niche,Primary_lifestyle,Range_size,buildingcoll,lbuildingcoll,buildingcoll_mig,lbuildingcoll_mig,buildingcoll_nonmig,lbuildingcoll_nonmig,rawtowercoll,ltowercollnonzero,rawturbinecoll,lturbinecollnonxero,ALLcoll,Abundance.estimate,strong_finding,Assembly name,contig N50 (bp),scaffold N50 (bp),Range_size_log,ResearchEffort_log,PopulationTrend2019_encoded,inno_selection
Rissa_tridactyla,6449,species,bklkit,avibase-FB4D08F0,Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",585161.0,Rissa tridactyla,"ncbi:75485,worms:137156,gbif:2481205,irmng:11245700",canonical_match,Rissa tridactyla,concepts_match,Rissa tridactyla,concepts_match,Rissa tridactyla,concepts_match,Rissa_tridactyla,Rissa tridactyla,Rissa_tridactyla,3957,CHARADRIIFORMES,LARIDAE,Rissa,Rissa_tridactyla,5,4,1,0.745279748,0.893774578,0.097972721,2307068.48,869,4,1.927966102,12.9,9.781390857,28.5,0.0,0,Vulnerable,3.0,decreasing,1.0,1.0,1.0,1.0,NO,4.362,0.036,44.5,18.8,5.3,10.8,33.9,301.0,179.1,122.9,59.4,116.0,415.99,Marine,3,2.0,Carnivore,Aquatic predator,Aerial,2307068.48,,,,,,,,,,,,815654031.0,True,HLrisTri1,54641,17652270,6.363060485741174,2.9390197764486663,1.0,not_innovative
Rynchops_niger,6622,species,blkski,avibase-88AB027C,Black Skimmer,Rynchops niger,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",738512.0,Rynchops niger,"ncbi:227184,worms:159079,gbif:2481209,irmng:10218333",canonical_match,Rynchops niger,concepts_match,Rynchops niger,concepts_match,Rynchops niger,concepts_match,Rynchops_niger,Rynchops niger,Rynchops_niger,3961,CHARADRIIFORMES,LARIDAE,Rynchops,Rynchops_niger,0,0,0,-0.76266618,-0.521157992,-0.427883771,13769340.5,142,2,5.31797235,11.5,7.011577329,20.0,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,2.647,-0.276,83.7,69.4,7.4,25.1,32.3,365.7,246.5,119.2,67.4,130.5,297.73,Riverine,3,2.0,Carnivore,Aquatic predator,Aerial,13769340.5,,,,,,,,,,,,34345427.0,True,HLrynNig1,57549,523074,7.138913139670877,2.1522883443830563,1.0,not_innovative
Stercorarius_parasiticus,6361,species,parjae,avibase-39086887,Parasitic Jaeger,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),742640.0,Stercorarius parasiticus,"ncbi:54059,worms:137172,gbif:2481621,irmng:11403717",canonical_match,Stercorarius parasiticus,concepts_match,Stercorarius parasiticus,concepts_match,Stercorarius parasiticus,concepts_match,Stercorarius_parasiticus,Stercorarius parasiticus,Stercorarius_parasiticus,7928,CHARADRIIFORMES,STERCORARIIDAE,Stercorarius,Stercorarius_parasiticus,3,2,1,0.510877895,0.500183378,0.198804026,6277591.31,292,3,1.932156134,13.5,11.21131415,31.1,0.0,0,Least-Concern,1.0,stable,2.0,0.0,1.0,0.0,NO,3.962,-0.097,36.1,12.0,5.7,9.0,41.5,310.5,188.3,124.5,60.2,172.0,444.31,Marine,3,3.0,Carnivore,Aquatic predator,Aerial,6277591.31,,,,,,,,,,,,34201376.0,True,HLstePar1,107045,644604,6.797793038412557,2.4653828514484184,2.0,not_innovative
Uria_lomvia,6419,species,thbmur,avibase-B70B5840,Thick-billed Murre,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",551817.0,Uria lomvia,"ncbi:28711,worms:137134,gbif:2481339,irmng:10886560",canonical_match,Uria lomvia,concepts_match,Uria lomvia,concepts_match,Uria lomvia,concepts_match,Uria_lomvia,Uria lomvia,Uria_lomvia,4638,CHARADRIIFORMES,ALCIDAE,Uria,Uria_lomvia,1,0,1,-0.219368616,-0.623854118,0.176936244,2199476.8,370,3,1.317706684,14.0,12.9330039,31.1427422,0.0,0,Least-Concern,1.0,increasing,3.0,0.0,1.0,0.0,NO,5.395,-0.223,49.3,27.3,8.6,14.3,33.2,206.8,106.8,99.2,51.9,44.4,963.99,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,2199476.8,,,,,,,,,,,,30207441.0,True,HLuriLom1,24899,15847591,6.342319385414896,2.568201724066995,3.0,not_innovative
Dromas_ardeola,6306,species,craplo1,avibase-C3E33FEB,Crab-Plover,Dromas ardeola,Charadriiformes,Dromadidae (Crab-Plover),383929.0,Dromas ardeola,"ncbi:458190,worms:212718,gbif:5229199,irmng:10840351",canonical_match,Dromas ardeola,concepts_match,Dromas ardeola,concepts_match,Dromas ardeola,concepts_match,Dromas_ardeola,Dromas ardeola,Dromas_ardeola,7561,CHARADRIIFORMES,DROMADIDAE,Dromas,Dromas_ardeola,0,0,0,-0.554360808,-0.378400505,-0.30510052,318985.68,37,1,2.935828877,9.6,7.2013327,17.67303654,0.0,0,Least-Concern,1.0,stable,2.0,0.0,0.0,0.0,NO,3.809,0.039,62.7,44.8,9.9,14.9,90.4,208.5,112.0,96.5,53.7,66.7,325.0,Coastal,3,1.0,Carnivore,Aquatic predator,Terrestrial,318985.68,,,,,,,,,,,,7892858.0,True,HLdroArd1,40991,314166,5.503771187017765,1.568201724066995,2.0,not_innovative
Chionis_minor,5727,species,blfshe1,avibase-7C15B681,Black-faced Sheathbill,Chionis minor,Charadriiformes,Chionidae (Sheathbills),738515.0,Chionis minor,"ncbi:227182,worms:225982,gbif:2481372,irmng:11416377",canonical_match,Chionis minor,concepts_match,Chionis minor,concepts_match,Chionis minor,concepts_match,Chionis_minor,Chionis minor,Chionis_minor,626,CHARADRIIFORMES,CHIONIDAE,Chionis,Chionis_minor,0,0,0,-0.494712272,-0.337521699,-0.269941364,8219.09,25,1,2.046351085,10.5,8.71950274,24.0,1.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,3.46,-0.292,33.5,22.6,8.7,14.6,45.4,227.0,81.1,145.2,35.9,105.8,493.96,Marine,3,2.0,Omnivore,Omnivore,Terrestrial,9529678.04,,,,,,,,,,,,,True,HLchiMin1,128427,592381,6.979078228254972,1.3979400086720377,1.0,not_innovative
Burhinus_indicus,5757,species,indthk1,avibase-89404B93,Indian Thick-knee,Burhinus indicus,Charadriiformes,Burhinidae (Thick-knees),3597009.0,Burhinus indicus,gbif:6066037,canonical_match,Burhinus oedicnemus,child_of,Burhinus indicus,concepts_match,Burhinus indicus,concepts_match,Burhinus_indicus,Burhinus oedicnemus,Burhinus_oedicnemus,3477,CHARADRIIFORMES,BURHINIDAE,Burhinus,Burhinus_oedicnemus,3,3,0,0.5617395,0.822722328,-0.464363356,9168330.74,211,3,3.216071429,10.5,7.43404827,21.7161766,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,3.621,-0.205,43.1,20.6,8.1,9.1,75.1,233.4,111.5,122.2,47.7,116.6,459.0,Grassland,3,3.0,Carnivore,Invertivore,Terrestrial,9168330.74,,,,,,,,,,,,4071287.0,True,HLburOed1,93678,1937420,6.962290271722583,2.3242824552976926,1.0,not_innovative
Anarhynchus_alexandrinus,5954,species,kenplo1,avibase-AA4385A2,Kentish Plover,Anarhynchus alexandrinus,Charadriiformes,Charadriidae (Plovers and Lapwings),112947.0,Charadrius alexandrinus,"ncbi:50392,worms:212611,gbif:2480311,irmng:10190130",canonical_match,Charadrius alexandrinus,overlaps,Charadrius alexandrinus,concepts_match,Anarhynchus alexandrinus,concepts_match,Anarhynchus_alexandrinus,Charadrius alexandrinus,Charadrius_alexandrinus,3525,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,Charadrius_alexandrinus,1,0,1,-0.23811706,-0.63670295,0.165885186,13539453.43,417,1,10.38668224,5.0,4.057964929,19.0,0.0,0,Least-Concern,1.0,decreasing,1.0,1.0,1.0,1.0,NO,0.904,-0.255,16.3,10.8,3.1,3.1,26.5,106.2,59.2,48.5,55.0,44.2,42.3,Coastal,3,2.0,Carnivore,Aquatic predator,Terrestrial,13539453.43,,,,,,,,,,,,44604910.0,True,HLchaAle1,129786,3290793,7.131601132803622,2.6201360549737576,1.0,not_innovative
Anarhynchus_dealbatus,5960,species,whfplo2,avibase-5E8E69CA,White-faced Plover,Anarhynchus dealbatus,Charadriiformes,Charadriidae (Plovers and Lapwings),6520421.0,Charadrius dealbatus,additions-6520402-6520422,new_taxon_amendment,Charadrius alexandrinus,child_of,Charadrius dealbatus,concepts_match,Anarhynchus dealbatus,concepts_match,Anarhynchus_dealbatus,Charadrius alexandrinus,Charadrius_alexandrinus,3525,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,Charadrius_alexandrinus,1,0,1,-0.23811706,-0.63670295,0.165885186,13539453.43,417,1,10.38668224,5.0,4.057964929,19.0,0.0,0,Least-Concern,1.0,decreasing,1.0,1.0,1.0,1.0,NO,0.904,-0.255,16.3,10.8,3.1,3.1,26.5,106.2,59.2,48.5,55.0,44.2,42.3,Coastal,3,2.0,Carnivore,Aquatic predator,Terrestrial,13539453.43,,,,,,,,,,,,44604910.0,True,HLchaAle1,129786,3290793,7.131601132803622,2.6201360549737576,1.0,not_innovative
Charadrius_vociferus,5827,species,killde,avibase-BCF9A19A,Killdeer,Charadrius vociferus,Charadriiformes,Charadriidae (Plovers and Lapwings),661811.0,Charadrius vociferus,"ncbi:50402,worms:159127,gbif:2480320,irmng:10934850",canonical_match,Charadrius vociferus,concepts_match,Charadrius vociferus,concepts_match,Charadrius vociferus,concepts_match,Charadrius_vociferus,Charadrius vociferus,Charadrius_vociferus,3532,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,Charadrius_vociferus,3,2,1,0.643521429,0.591087695,0.27698926,14759088.1,125,2,4.86440678,5.2,3.924036198,15.95356484,0.0,0,Least-Concern,1.0,decreasing,1.0,0.0,0.0,0.0,NO,1.171,-0.459,21.5,13.1,3.5,4.2,34.4,158.8,83.5,75.2,52.6,85.8,96.44,Wetland,3,3.0,Carnivore,Omnivore,Terrestrial,14759088.1,7.0,0.84509804,7.0,0.85,0.0,,1.0,0.0,175.0,2.243038049,2.26245109,24346920.0,True,chaVoc2,39278,3657050,7.1690595251447204,2.0969100130080562,1.0,not_innovative
